start_hour,year,month,count
23,2017,1,9160
23,2017,2,38
0,2017,2,5782
1,2017,2,3162
2,2017,2,1824
3,2017,2,1025
4,2017,2,1111
5,2017,2,5021
6,2017,2,17942
7,2017,2,39028
7,2017,3,1
8,2017,2,70001
9,2017,2,53434
10,2017,2,35226
11,2017,2,35853
11,2017,3,3
12,2017,2,42488
12,2017,3,2
13,2017,2,45744
14,2017,2,48611
14,2017,3,2
15,2017,2,51271
15,2017,3,1
16,2017,2,58561
16,2017,3,2
17,2017,2,79213
17,2017,3,3
18,2017,2,69798
18,2017,3,1
19,2017,2,46400
19,2017,3,4
20,2017,2,31170
21,2017,2,21911
21,2017,3,5
22,2017,2,16702
22,2017,3,2
23,2017,2,10282
23,2017,3,61
0,2017,3,5329
1,2017,3,2697
2,2017,3,1359
3,2017,3,869
4,2017,3,1034
5,2017,3,4665
6,2017,3,17854
7,2017,3,37751
7,2017,4,1
8,2017,3,67643
9,2017,3,49701
10,2017,3,30601
10,2017,4,1
11,2017,3,29332
12,2017,3,34746
13,2017,3,37038
13,2017,4,1
14,2017,3,39933
14,2017,4,2
15,2017,3,42288
15,2017,4,2
16,2017,3,51024
16,2017,4,1
17,2017,3,77941
18,2017,3,73604
18,2017,4,3
19,2017,3,47072
19,2017,4,4
20,2017,3,29883
20,2017,4,1
21,2017,3,20857
22,2017,3,15079
22,2017,4,2
23,2017,3,9324
23,2017,4,23
0,2017,4,10064
0,2017,5,1
1,2017,4,5403
2,2017,4,3323
3,2017,4,1813
4,2017,4,1761
5,2017,4,6356
5,2017,5,1
6,2017,4,23603
6,2017,5,1
7,2017,4,49098
7,2017,6,1
7,2017,7,1
8,2017,4,92767
8,2017,5,1
9,2017,4,79162
9,2017,5,1
9,2017,6,1
10,2017,4,60606
10,2017,5,1
10,2017,7,1
11,2017,4,66156
11,2017,5,3
12,2017,4,76735
12,2017,5,5
13,2017,4,82056
13,2017,5,4
14,2017,4,85084
14,2017,5,7
14,2017,6,1
15,2017,4,87827
15,2017,5,6
16,2017,4,98718
16,2017,5,3
16,2017,6,1
16,2017,7,1
17,2017,4,133166
17,2017,5,11
18,2017,4,127551
18,2017,5,17
18,2017,6,3
18,2017,7,1
19,2017,4,86313
19,2017,5,8
19,2017,6,1
20,2017,4,54105
20,2017,5,7
21,2017,4,37408
21,2017,5,4
22,2017,4,27946
22,2017,5,5
23,2017,4,18219
23,2017,5,64
23,2017,6,2
0,2017,5,11964
1,2017,5,6332
2,2017,5,3608
3,2017,5,2202
4,2017,5,2230
5,2017,5,9112
6,2017,5,31854
7,2017,5,69812
7,2017,6,1
8,2017,5,123450
9,2017,5,93689
9,2017,6,1
10,2017,5,65071
